,index,d,lat,lon,time,apparentTemperature,cloudCover,cloudCoverError,data,dewPoint,dewPointError,humidity,humidityError,icon,isd-stations,precipIntensity,precipProbability,precipType,pressure,pressureError,sources,summary,temperature,temperatureError,units,visibility,visibilityError,windBearing,windBearingError,windSpeed,windSpeedError,fire
587,587,2016-07-16 17:12:53.000000,39.8843478198,-97.5367125777,1468670400,64.2,0.6,,,62.17,,0.93,,partly-cloudy-day,,0.0014,0.03,rain,1016.84,,,Mostly Cloudy,64.2,,,9.87,,99.0,,3.74,,0.0
588,588,2016-07-03 01:05:52.000000,47.9914896913,-80.4495505416,1467547200,57.93,0.36,,,50.78,,0.77,,partly-cloudy-day,,0,0,,1014.65,,,Partly Cloudy,57.93,,,9.72,,277.0,,4.39,,0.0
589,589,2016-05-27 17:49:49.000000,45.8219551406,-82.5985176556,1464350400,56.83,,,,55.78,,0.96,,fog,,0,0,,1014.07,,,Foggy,56.83,,,0.27,,214.0,,0.26,,0.0
590,590,2016-08-01 07:53:30.000000,39.4966204012,-84.2125142335,1470052800,72.02,0.08,,,68.95,,0.9,,clear-day,,0,0,,1017.68,,,Clear,72.02,,,8.38,,30.0,,2.51,,0.0
591,591,2016-07-21 04:44:24.000000,35.7647586927,-96.9081856628,1469102400,74.98,0,,,71.33,,0.88,,clear-day,,0,0,,1017.8,,,Clear,74.98,,,9.01,,179.0,,7.72,,0.0
592,592,2016-05-11 03:07:09.000000,39.2954460749,-92.6668940736,1462968000,64.45,0.23,,,60.36,,0.87,,clear-day,,0.0008,0.01,rain,1012.72,,,Clear,64.45,,,8.66,,116.0,,2.62,,0.0
593,593,2016-08-19 04:53:30.000000,25.0446454325,-115.396985543,1471608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
594,594,2016-07-09 03:47:50.000000,39.2921905699,-117.958233997,1468065600,56.75,0.03,,,36.84,,0.47,,clear-night,,0,0,,1013.79,,,Clear,56.75,,,10,,199.0,,2.08,,0.0
595,595,2016-08-05 04:35:22.000000,38.6164052097,-117.907567104,1470398400,56.34,0.09,,,33.25,,0.42,,clear-night,,0,0,,1009.84,,,Clear,56.34,,,10,,170.0,,3.76,,0.0
596,596,2016-07-23 10:45:37.000000,47.7324855781,-109.028950515,1469275200,56.16,0,,,42.59,,0.6,,clear-day,,0,0,,1012.72,,,Clear,56.16,,,10,,251.0,,14.79,,0.0
597,597,2016-05-13 01:53:28.000000,34.9402466568,-107.238571299,1463140800,44.19,0,,,33.28,,0.61,,clear-night,,0,0,,1018.49,,,Clear,45.94,,,10,,336.0,,3.99,,0.0
598,598,2016-09-19 02:36:06.000000,30.1195576033,-104.816251476,1474286400,69.95,0,,,60.3,,0.71,,clear-night,,0,0,,1013.86,,,Clear,69.95,,,10,,302.0,,1.29,,0.0
599,599,2016-06-27 03:39:57.000000,39.6143103,-108.83689377,1467028800,55.81,0,,,29.31,,0.36,,clear-day,,0,0,,1019.08,,,Clear,55.81,,,10,,116.0,,2.22,,0.0
600,600,2016-09-09 10:56:47.000000,31.2913530689,-79.3973032132,1473422400,75.65,0.05,,,71.33,,0.87,,clear-day,,0,0,,1018.63,,,Clear,75.65,,,8.83,,247.0,,5.04,,0.0
601,601,2016-05-26 15:36:52.000000,37.4668913946,-122.000304957,1464264000,54.73,0.3,,,48.46,,0.79,,partly-cloudy-night,,0,0,,1018.72,,,Partly Cloudy,54.73,,,9.72,,205.0,,2.98,,0.0
602,602,2016-08-11 08:41:13.000000,39.9928192778,-104.740240707,1470916800,62.59,0.23,,,46.54,,0.56,,clear-night,,0,0,,1010.81,,,Clear,62.59,,,9.75,,252.0,,4.07,,0.0
603,603,2016-08-02 05:08:11.000000,27.811964521,-89.7620962305,1470139200,93.99,0.11,,,74.19,,0.68,,clear-day,,0,0,,1018.68,,,Clear,85.83,,,10,,188.0,,1.37,,0.0
604,604,2016-07-31 15:16:38.000000,35.64374656,-108.112188203,1469966400,60.88,0.21,,,52.2,,0.73,,clear-night,,0.0019,0.04,rain,1011.01,,,Clear,60.88,,,10,,314.0,,1.02,,0.0
605,605,2016-08-23 14:45:19.000000,39.2532015708,-72.3461806413,1471953600,67.91,0,,,57.69,,0.7,,clear-day,,0,0,,1024.61,,,Clear,67.91,,,10,,334.0,,6.29,,0.0
606,606,2016-08-05 22:38:51.000000,42.3279542171,-83.6846902088,1470398400,73.87,0.12,,,69.34,,0.86,,clear-day,,0,0,,1011.32,,,Clear,73.87,,,7.66,,220.0,,4.85,,0.0
607,607,2016-05-18 03:34:03.000000,27.8088237578,-107.658041028,1463572800,54.11,,,,47.04,,0.77,,fog,,,,rain,1009.22,,,Foggy,54.11,,,0.97,,0.0,,2,,0.0
608,608,2016-06-03 13:24:59.000000,32.3566445702,-120.663335793,1464955200,55.17,,,,,,,,fog,,0,0,,1014.12,,,Foggy,55.17,,,0,,294.0,,7.72,,0.0
609,609,2016-05-15 22:07:40.000000,41.2389368327,-109.529267805,1463313600,42.8,0.04,,,38.01,,0.83,,rain,,0.0106,0.51,rain,1008.13,,,Drizzle,42.8,,,9.27,,120.0,,0.5,,0.0
610,610,2016-09-05 15:20:27.000000,39.0860571835,-99.9786732451,1473076800,70.25,0,,,64.24,,0.81,,clear-night,,0,0,,1006.69,,,Clear,70.25,,,9.51,,191.0,,11.41,,0.0
611,611,2016-07-06 08:46:16.000000,31.1404254523,-75.7066298704,1467806400,92.38,,,,79.1,,0.91,,clear-day,,,,rain,1019.1,,,Clear,82,,,,,240.0,,16,,0.0
612,612,2016-06-09 10:00:25.000000,34.3844641708,-89.303499506,1465473600,67.27,0.07,,,59.34,,0.76,,clear-day,,0,0,,1016.82,,,Clear,67.27,,,9.2,,90.0,,1.88,,0.0
613,613,2016-06-13 18:54:44.000000,38.1154469991,-106.151801517,1465819200,45.9,0.3,,,40.6,,0.71,,partly-cloudy-day,,0,0,,1015.79,,,Partly Cloudy,49.43,,,10,,328.0,,8.43,,0.0
614,614,2016-09-14 00:38:13.000000,42.0412773267,-83.9069350455,1473854400,64.5,0.82,,,61.16,,0.89,,partly-cloudy-day,,0.0028,0.09,rain,1021.99,,,Mostly Cloudy,64.5,,,9.51,,20.0,,7.88,,0.0
615,615,2016-08-31 22:47:30.000000,29.9726480956,-102.609985013,1472644800,69.29,0.26,,,67.81,,0.95,,partly-cloudy-night,,0.0008,0.01,rain,1015.2,,,Partly Cloudy,69.29,,,7.49,,356.0,,3.33,,0.0
616,616,2016-05-13 23:45:33.000000,45.4354478168,-70.4946511114,1463140800,53.85,0,,,40.96,,0.62,,clear-day,,0,0,,1013.07,,,Clear,53.85,,,9.77,,154.0,,4.55,,0.0
617,617,2016-06-27 23:28:42.000000,46.9871826137,-89.1924710196,1467028800,57.17,0.17,,,52.07,,0.83,,clear-day,,0.0019,0.04,rain,1013.08,,,Clear,57.17,,,10,,283.0,,12.42,,0.0
618,618,2016-08-29 02:41:22.000000,45.7373396255,-103.268804307,1472472000,60.85,0,,,50.6,,0.69,,clear-night,,0,0,,1020.16,,,Clear,60.85,,,10,,22.0,,12.2,,0.0
619,619,2016-06-20 07:04:38.000000,30.5318499972,-71.2039077658,1466424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
620,620,2016-07-12 19:38:37.000000,43.4956435463,-123.747372655,1468324800,55.17,0.73,,,51.18,,0.86,,partly-cloudy-night,,0,0,,1016.14,,,Mostly Cloudy,55.17,,,8.89,,221.0,,0.1,,0.0
621,621,2016-08-18 18:35:03.000000,33.8932860657,-118.695418555,1471521600,62.13,0.32,,,54.17,,0.75,,partly-cloudy-night,,0,0,,1011.31,,,Partly Cloudy,62.13,,,7.28,,333.0,,5.6,,0.0
622,622,2016-06-23 01:47:15.000000,29.9426286905,-95.5297346124,1466683200,75.77,0.18,,,73.12,,0.92,,clear-day,,0,0,,1017.73,,,Clear,75.77,,,9.87,,222.0,,2.99,,0.0
623,623,2016-07-06 06:22:53.000000,39.854263367,-93.5563356229,1467806400,78.69,0.24,,,74.76,,0.88,,clear-day,,0,0,,1008.16,,,Clear,78.69,,,9.61,,177.0,,5.64,,0.0
624,624,2016-07-16 05:31:37.000000,41.6435029489,-94.9180902912,1468670400,60.56,0.11,,,59.34,,0.96,,clear-day,,0,0,,1018.06,,,Clear,60.56,,,8.46,,98.0,,2.08,,0.0
625,625,2016-07-20 07:40:01.000000,41.0620262875,-98.1251148022,1469016000,72.89,0,,,67.88,,0.84,,clear-day,,0,0,,1015.06,,,Clear,72.89,,,10,,175.0,,10.45,,0.0
626,626,2016-09-07 06:36:23.000000,45.3870693059,-94.5751746728,1473249600,63.81,0.22,,,61.65,,0.93,,clear-day,,0.0008,0.01,rain,1016.44,,,Clear,63.81,,,9.54,,43.0,,5.69,,0.0
627,627,2016-06-18 20:52:32.000000,43.6351552338,-115.083982267,1466251200,49.78,0,,,39.45,,0.67,,clear-night,,0,0,,1014.7,,,Clear,49.78,,,10,,240.0,,2.51,,0.0
628,628,2016-06-28 09:57:05.000000,43.9549019801,-86.8106318891,1467115200,57.26,0.28,,,50.01,,0.77,,partly-cloudy-day,,0,0,,1021.55,,,Partly Cloudy,57.26,,,10,,6.0,,9.95,,0.0
629,629,2016-08-08 02:59:28.000000,39.5308231658,-100.710273972,1470657600,65.2,0.68,,,63.81,,0.95,,partly-cloudy-day,,0,0,,1013.76,,,Mostly Cloudy,65.2,,,2.81,,120.0,,7.18,,0.0
630,630,2016-09-12 02:09:02.000000,28.5282794718,-117.188926438,1473681600,80,,,,,,,,clear-night,,,,rain,1021.3,,,Clear,80,,,,,,,,,0.0
631,631,2016-08-14 23:25:55.000000,30.8661020353,-120.218302989,1471176000,61,,,,,,,,clear-night,,,,rain,1011.7,,,Clear,61,,,,,290.0,,16,,0.0
632,632,2016-08-21 18:07:35.000000,38.6066549517,-73.8502577552,1471780800,77.25,0.06,,,74.77,,0.92,,clear-day,,0,0,,1011.35,,,Clear,77.25,,,8.87,,158.0,,2.46,,0.0
633,633,2016-06-06 19:44:35.000000,26.1635727674,-81.7874520428,1465214400,91.02,0.17,,,76.52,,0.82,,clear-day,,0,0,,1011.03,,,Clear,82.68,,,6.31,,158.0,,12.06,,0.0
634,634,2016-08-25 00:56:11.000000,36.5308181207,-112.048454421,1472126400,54.72,0.07,,,44.33,,0.68,,clear-night,,0,0,,1015.97,,,Clear,54.72,,,10,,107.0,,1.4,,0.0
635,635,2016-08-29 11:04:25.000000,46.2535491214,-68.3047228309,1472472000,66.55,0.16,,,62.59,,0.87,,clear-day,,0,0,,1012.56,,,Clear,66.55,,,9.93,,232.0,,7.18,,0.0
636,636,2016-09-08 07:20:21.000000,39.2686230199,-123.221082074,1473336000,58.03,0.02,,,49.69,,0.74,,clear-night,,0,0,,1016.07,,,Clear,58.03,,,9.93,,162.0,,4.61,,0.0
