,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,visibility,windBearing,windSpeed,elevation,fire
85,-2.07,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.59,9.57,12.0,9.47,482.0,1
86,-5.86,0.43,1.83,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,310.0,8.42,482.0,1
87,-5.86,0.43,1.83,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,310.0,8.42,476.833587646,1
88,-7.45,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,9.97,476.833587646,1
89,-7.45,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,9.97,294.0,1
90,-5.93,0.43,1.82,0.79,partly-cloudy-night,0.0,0.0,,1018.05,10.0,309.0,8.47,294.0,1
91,-7.44,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,9.95,238.0,1
92,-7.44,0.31,1.99,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,9.95,238.0,1
93,-7.35,0.31,2.2,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,10.18,1712.65209961,1
94,-7.35,0.31,2.2,0.8,partly-cloudy-night,,,snow,1017.31,10.0,300.0,10.18,1712.65209961,1
95,-7.34,0.31,2.24,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.23,935.153991699,1
96,-7.34,0.31,2.24,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.23,1749.47021484,1
97,-2.27,1.0,6.46,0.81,cloudy,,,snow,1017.8,3.52,155.0,9.96,1749.47021484,1
98,-2.27,1.0,6.46,0.81,cloudy,,,snow,1017.8,3.52,155.0,9.96,911.083374023,1
99,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.6,155.0,9.96,911.083374023,1
100,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.6,155.0,9.96,1024.0,1
101,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,921.0,1
102,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,1029.0,1
103,-2.27,1.0,6.49,0.82,cloudy,,,snow,1017.8,3.44,155.0,9.96,939.070373535,1
104,-2.27,1.0,6.49,0.82,cloudy,,,snow,1017.8,3.44,155.0,9.96,939.070373535,1
105,16.31,1.0,21.33,0.74,cloudy,0.0,0.0,,1021.87,7.18,310.0,17.14,1031.53527832,1
106,14.36,0.88,15.58,0.62,partly-cloudy-night,0.0,0.0,,1026.01,9.3,315.0,16.14,1031.53527832,1
107,16.31,1.0,21.35,0.74,cloudy,0.0,0.0,,1021.86,7.17,310.0,17.15,1850.21105957,1
108,-5.59,0.45,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,311.0,8.5,592.0,1
109,-5.59,0.45,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,311.0,8.5,488.0,1
110,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.6,155.0,9.96,1700.30114746,1
111,-5.59,0.44,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.07,10.0,311.0,8.5,1719.79309082,1
112,-5.59,0.44,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.07,10.0,311.0,8.5,1719.79309082,1
113,-6.07,0.41,1.94,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.71,489.0,1
114,-6.07,0.41,1.94,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.71,489.0,1
115,-6.05,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.92,10.0,308.0,8.73,811.047668457,1
116,-6.05,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.92,10.0,308.0,8.73,811.047668457,1
117,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,685.0,1
118,-6.06,0.41,1.94,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.7,685.0,1
119,-6.06,0.41,1.94,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.7,1118.37805176,1
120,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,1118.37805176,1
121,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,1781.39489746,1
122,-2.27,1.0,6.46,0.81,cloudy,,,snow,1017.8,3.53,155.0,9.96,1781.39489746,1
123,-2.27,1.0,6.46,0.81,cloudy,,,snow,1017.8,3.53,155.0,9.96,1314.25195312,1
124,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,982.182739258,1
125,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,982.182739258,1
126,-2.13,1.0,5.11,0.77,cloudy,0.0,0.0,,1019.62,9.53,12.0,9.52,1269.83581543,1
127,-2.13,1.0,5.11,0.77,cloudy,0.0,0.0,,1019.62,9.53,12.0,9.52,594.0,1
128,8.67,0.8,10.99,0.88,partly-cloudy-night,0.0,0.0,,1033.55,10.0,240.0,3.0,1749.59875488,1
129,-6.04,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.72,1749.59875488,1
130,-6.04,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.72,451.316253662,1
131,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,451.316253662,1
132,-7.45,0.31,1.97,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,9.95,1602.38330078,1
133,-5.58,0.45,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,311.0,8.5,488.0,1
134,-5.58,0.45,2.1,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,311.0,8.5,459.0,1
135,-6.04,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.72,459.0,1
136,-6.04,0.41,1.97,0.79,partly-cloudy-night,0.0,0.0,,1017.93,10.0,308.0,8.72,257.0,1
137,14.66,0.76,11.8,0.88,partly-cloudy-night,0.0,0.0,,1033.37,10.0,240.0,3.0,257.0,1
138,-5.93,0.42,1.84,0.79,partly-cloudy-night,0.0,0.0,,1018.04,10.0,309.0,8.49,1554.42993164,1
139,14.66,0.76,11.8,0.88,partly-cloudy-night,0.0,0.0,,1033.37,10.0,240.0,3.0,1554.42993164,1
140,-5.85,0.43,1.83,0.78,partly-cloudy-night,0.0,0.0,,1018.08,10.0,310.0,8.41,256.0,1
141,-2.27,1.0,6.47,0.81,cloudy,,,snow,1017.8,3.5,155.0,9.96,496.0,1
142,-2.27,1.0,6.47,0.81,cloudy,,,snow,1017.8,3.5,155.0,9.96,458.0,1
143,-7.39,0.31,2.11,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.1,258.0,1
144,-7.39,0.31,2.11,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.1,1462.86669922,1
145,-7.4,0.31,2.1,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.08,1462.86669922,1
146,-7.4,0.31,2.1,0.8,partly-cloudy-night,,,snow,1017.3,10.0,299.0,10.08,258.0,1
147,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,258.0,1
148,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,1743.31591797,1
149,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.62,155.0,9.96,558.0,1
150,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.62,155.0,9.96,558.425354004,1
151,-7.35,0.31,2.21,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,10.2,558.425354004,1
152,-7.35,0.31,2.21,0.8,partly-cloudy-night,,,snow,1017.3,10.0,300.0,10.2,256.0,1
153,-2.27,1.0,6.47,0.81,cloudy,,,snow,1017.8,3.5,155.0,9.96,718.23626709,1
154,-2.27,1.0,6.47,0.81,cloudy,,,snow,1017.8,3.5,155.0,9.96,718.23626709,1
155,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,629.0,1
156,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,629.0,1
157,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,491.059051514,1
158,-2.27,1.0,6.44,0.81,cloudy,,,snow,1017.8,3.61,155.0,9.96,491.059051514,1
159,-6.18,0.4,2.19,0.79,partly-cloudy-night,0.0,0.0,,1017.79,10.0,306.0,9.1,593.0,1
160,-6.18,0.4,2.19,0.79,partly-cloudy-night,0.0,0.0,,1017.79,10.0,306.0,9.1,579.0,1
161,-6.18,0.4,2.19,0.79,partly-cloudy-night,0.0,0.0,,1017.78,10.0,306.0,9.11,579.0,1
162,-6.18,0.4,2.19,0.79,partly-cloudy-night,0.0,0.0,,1017.78,10.0,306.0,9.11,593.0,1
163,-2.27,1.0,6.48,0.82,cloudy,,,snow,1017.8,3.45,155.0,9.96,593.0,1
164,-2.05,1.0,5.09,0.77,cloudy,0.0,0.0,,1019.58,9.59,12.0,9.45,543.0,1
