"Geographic name","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011"
S4X,,23786,8937,8699
S4Y,,3329,1069,1054
S4Z,,459,264,183
S6H,,28072,13514,12470
S6J,,4626,2033,1935
S6K,,1066,409,388
S6V,,40964,16902,15494
S6W,,17,12,10
S6X,,1653,573,541
S7H,,35836,16947,16036
S7J,,31368,13337,12913
S7K,,38721,17792,16781
S7L,,38684,15285,14557
S7M,,30525,12780,11974
S7N,,28546,12618,11908
S7P,,172,65,57
S7R,,2568,1004,870
S7S,,5919,2193,2057
S7T,,6000,2500,2252
S7V,,7096,2857,2737
S7W,,5265,1908,1736
S9A,,14986,6573,6130
S9H,,17409,7954,7439
S9V,,11936,4865,4441
S9X,,7760,3036,2766
T0A,,53574,23583,19685
T0B,,62661,26562,23685
T0C,,60451,27068,21943
T0E,,41713,20708,15990
T0G,,43274,17968,15139
T0H,,81716,30856,28013
T0J,,48728,19391,17249
T0K,,54122,19964,17413
T0L,,55444,20977,18890
T0M,,67012,29179,25376
T0P,,2851,1220,989
T0V,,10,6,5
T1A,,25552,12780,11584
T1B,,29851,12386,11759
T1C,,9009,3831,3626
T1G,,10545,4030,3777
T1H,,25137,10913,10253
T1J,,17674,8692,7696
T1K,,43467,18708,17082
T1L,,7584,2850,2565
T1M,,9629,3493,3327
T1P,,15266,5951,5595
T1R,,16462,6616,6032
T1S,,28732,10379,9924
T1V,,15240,6316,6073
T1W,,12662,8255,5332
T1X,,16599,5520,5263
T1Y,,54571,18282,17432
T1Z,,68,22,13
T2A,,56898,21882,20497
T2B,,22731,9758,9148
T2C,,19219,7661,7342
T2E,,32555,17099,15676
T2G,,12349,7314,6543
T2H,,8512,4044,3901
T2J,,46722,18772,18239
T2K,,34319,15223,14576
T2L,,12887,5776,5550
T2M,,19445,10157,8853
T2N,,23247,12100,11116
T2P,,12305,8347,6943
T2R,,12645,9252,8238
T2S,,14368,8522,7823
T2T,,27337,15185,13904
T2V,,32351,15279,14450
T2W,,42689,17082,16687
T2X,,34049,11679,11373
T2Y,,57965,20955,20321
T2Z,,55742,20178,19708
T3A,,52765,19102,18676
T3B,,35892,15210,14546
T3C,,22173,11835,10829
T3E,,38787,17906,17026
T3G,,57277,20660,20257
T3H,,62084,22865,22168
T3J,,65518,18742,17799
T3K,,72609,25606,24957
T3L,,29085,9853,9735
T3M,,17635,6399,6109
T3N,,2035,715,638
T3P,,6304,2117,2049
T3R,,12446,4018,3850
T3S,,330,130,119
T3Z,,10397,3496,3314
T4A,,10783,3927,3811
T4B,,33992,12490,11977
T4C,,22350,8776,8229
T4E,,850,299,290
T4G,,11861,4599,4385
T4H,,10789,4656,4345
T4J,,10259,4260,3996
T4L,,15887,6233,5882
T4N,,32888,16481,14880
T4P,,27573,11218,10572
T4R,,33673,12467,12176
T4S,,17360,7838,6490
T4T,,15112,5913,5544
T4V,,19167,8637,8151
T4X,,13284,4566,4369
T5A,,33829,14003,13298
T5B,,15561,8047,6968
T5C,,16181,6622,6184
T5E,,30726,12463,11666
T5G,,12323,6601,5569
T5H,,26205,15593,13319
T5J,,4293,2926,2382
T5K,,22165,15994,14373
T5L,,16400,6964,6552
T5M,,14450,7314,6646
T5N,,14367,7412,6928
T5P,,20240,9953,9100
T5R,,25444,10388,10003
T5S,,2885,1302,1260
T5T,,59004,23484,22602
T5V,,122,55,46
T5W,,20507,9014,8511
T5X,,36989,13771,13369
T5Y,,36578,13583,12933
T5Z,,26315,8438,8224
T6A,,14710,6722,6323
T6B,,9182,4163,3943
T6C,,19936,9953,9235
T6E,,22138,13751,12127
T6G,,11824,7044,5630
T6H,,31184,13710,12825
T6J,,46809,19268,18487
T6K,,29564,10711,10338
T6L,,52290,18465,17856
T6M,,22417,7952,7610
T6N,,10,2,2
T6P,,1872,896,853
T6R,,40934,14638,13945
T6S,,37,7,7
T6T,,24190,8055,7301
T6V,,15171,5352,5249
T6W,,22006,8998,8403
T6X,,16954,6308,5871
T7A,,12045,4746,4561
T7E,,12767,5398,4961
T7N,,7836,3309,3066
T7P,,7766,3211,2975
T7S,,12233,4871,4548
T7V,,10440,4556,4089
T7X,,34870,13331,12576
T7Y,,6336,2261,2175
T7Z,,23429,9235,8719
