"","FIRE_NAME","FIRE_DAY","FIRE_MONTH","FIRE_YEAR","DATA_SOURC","CAUSE","REPORTED_A","SIZE_CLASS","AGENCY","COMMENTS","IGNITION_D","CONT_DATE","REGION_NUM","FOREST_NUM","ICS_CODE","ACRES","HA","SIZE_CLASS_"
"831","BROWN CABIN",12,6,1925,"UNKNOWN",7,0,"C","USF","",19250612,19250000,5,5,"KNF",16.93,6.85,"10-99.9 acres"
"832","",0,0,1921,"UNKNOWN",9,0,"C","USF","",19210000,19210000,5,13,"SQF",42.55,17.22,"10-99.9 acres"
"833","",0,0,1921,"UNKNOWN",1,0,"C","USF","",19210000,19210000,5,13,"SQF",38.6,15.62,"10-99.9 acres"
"834","",0,0,1921,"UNKNOWN",1,0,"C","USF","",19210000,19210000,5,13,"SQF",61.34,24.82,"10-99.9 acres"
"835","",0,0,1921,"UNKNOWN",1,0,"B","USF","",19210000,19210000,5,13,"SQF",4.76,1.93,"0.26-9.9 acres"
"836","",0,0,1921,"UNKNOWN",1,0,"E","USF","",19210000,19210000,5,13,"SQF",485.63,196.53,"300-999.9 acres"
"837","",0,0,1921,"UNKNOWN",9,0,"D","USF","",19210000,19210000,5,13,"SQF",177.73,71.93,"100-299.9 acres"
"838","",0,0,1921,"UNKNOWN",9,0,"G","USF","",19210000,19210000,5,13,"SQF",13171.72,5330.4,"5000+ acres"
"839","",0,0,1921,"UNKNOWN",9,0,"D","USF","",19210000,19210000,5,13,"SQF",220.93,89.41,"100-299.9 acres"
"840","",0,0,1921,"UNKNOWN",9,0,"E","USF","",19210000,19210000,5,13,"SQF",676.9,273.93,"300-999.9 acres"
"841","",0,0,1921,"UNKNOWN",9,0,"D","USF","",19210000,19210000,5,13,"SQF",124.79,50.5,"100-299.9 acres"
"842","",0,0,1921,"UNKNOWN",9,0,"E","USF","",19210000,19210000,5,2,"CNF",440.13,178.12,"300-999.9 acres"
"843","",0,0,1921,"UNKNOWN",9,0,"G","USF","",19210000,19210000,5,2,"CNF",6006.26,2430.65,"5000+ acres"
"844","",0,0,1921,"UNKNOWN",1,0,"C","USF","",19210000,19210000,5,9,"MDF",11.1,4.49,"10-99.9 acres"
"845","",0,0,1921,"UNKNOWN",1,0,"C","USF","",19210000,19210000,5,9,"MDF",12.36,5,"10-99.9 acres"
"846","CEDAR PASS",31,8,1921,"UNKNOWN",9,0,"D","USF","",19210831,19210000,5,9,"MDF",271.04,109.69,"100-299.9 acres"
"847","GREENS VALLEY",0,0,1921,"UNKNOWN",4,0,"F","USF","",19210000,19210000,5,8,"MNF",2573.06,1041.28,"1000-4999.9 acres"
"848","BONITA",1,8,1977,"UNKNOWN",1,7586,"G","USF","",19770801,19770809,5,13,"SQF",7428.07,3006.03,"5000+ acres"
"849","",0,0,1977,"UNKNOWN",9,0,"F","USF","",19770000,19770000,5,13,"SQF",1527.13,618.01,"1000-4999.9 acres"
"850","BEAR TRAP",14,8,1977,"UNKNOWN",9,3097,"F","USF","",19770814,19770817,5,13,"SQF",4044.71,1636.83,"1000-4999.9 acres"
"851","",0,0,1960,"UNKNOWN",9,0,"E","USF","",19600000,19600000,5,16,"STF",795.16,321.79,"300-999.9 acres"
"852","",0,0,1960,"UNKNOWN",1,0,"C","USF","",19600000,19600000,5,15,"SNF",78.97,31.96,"10-99.9 acres"
"853","",0,0,1960,"UNKNOWN",9,0,"F","USF","",19600000,19600000,5,4,"INF",2423.07,980.58,"1000-4999.9 acres"
"854","E.FORK INDIAN CR 1",8,8,1939,"UNKNOWN",7,0,"C","USF","",19390808,19390000,5,5,"KNF",38.07,15.41,"10-99.9 acres"
"855","ASH CREEK",23,8,1939,"UNKNOWN",1,0,"C","USF","",19390823,19390000,5,5,"KNF",83.18,33.66,"10-99.9 acres"
"856","PORTUGUESE #2",23,8,1939,"UNKNOWN",1,0,"C","USF","",19390823,19390000,5,5,"KNF",15.92,6.44,"10-99.9 acres"
"857","MILLER",30,7,1939,"UNKNOWN",7,0,"D","USF","",19390730,19390000,5,5,"KNF",152.1,61.55,"100-299.9 acres"
"858","QUIGLEY",20,8,1939,"UNKNOWN",3,0,"C","USF","",19390820,19390000,5,5,"KNF",75.32,30.48,"10-99.9 acres"
"859","BEAR CREEK",23,8,1939,"UNKNOWN",1,0,"C","USF","",19390823,19390000,5,5,"KNF",14.01,5.67,"10-99.9 acres"
"860","TOMPKINS RIDGE",25,3,1939,"UNKNOWN",1,0,"C","USF","",19390325,19390000,5,5,"KNF",65.81,26.63,"10-99.9 acres"
"861","HANCOCK",19,9,1939,"UNKNOWN",1,0,"C","USF","",19390919,19390000,5,5,"KNF",13.86,5.61,"10-99.9 acres"
"862","PRINTER GULCH",12,8,1939,"UNKNOWN",3,0,"F","USF","",19390812,19390000,5,5,"KNF",2447.02,990.27,"1000-4999.9 acres"
"863","MIDDLE CREEK",23,8,1939,"UNKNOWN",1,0,"F","USF","",19390823,19390000,5,5,"KNF",1502.6,608.08,"1000-4999.9 acres"
"864","GARDEN GULCH RIDGE",19,9,1939,"UNKNOWN",1,0,"C","USF","",19390919,19390000,5,5,"KNF",23.02,9.32,"10-99.9 acres"
